"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Тест проверяет корректность позиционирования задач при создании новой задачи в группе на доске (board).
    ","19039","Проверка index -> ожидаемая позиция задачи в колонке| Группа из 10 тасок, индекс не указан ","create_task","Fri Dec 12 12:58:55 UTC 2025","passed","Fri Dec 12 12:59:14 UTC 2025","","test_task_indexing_in_group","",""
"
    Подготовлены заренее таски для проверки на борде(board_with_tasks),
    т.к. на бэке нет создания left/right Connectors (только на фронте)

    Проверяет, что при запросе задач с фильтром по rightConnectors
    в ответе содержатся только те задачи, у которых есть хотя бы один
    из указанных rightConnectors ID.
    ","244","Проверка фильтрации задач по rightConnectors","tasks_filtered_by_criteria","Fri Dec 12 13:01:24 UTC 2025","passed","Fri Dec 12 13:01:25 UTC 2025","","test_get_tasks_connectors","",""
"","660","Редактирование Personal-документа: создание manager, редактирование member","tests.test_backend.document.access_doc","Fri Dec 12 12:51:32 UTC 2025","passed","Fri Dec 12 12:51:33 UTC 2025","","test_edit_doc_access_by_roles","",""
"Проверяет поведение при запросе с некорректным форматом board_id","197","Проверка получения задач с некорректным форматом board_id","tests.test_backend.task_service.get_tasks","Fri Dec 12 13:02:32 UTC 2025","passed","Fri Dec 12 13:02:32 UTC 2025","","test_get_tasks_vlidation","",""
"","199","GetTasks ids: один существующий task_id -> ровно одна задача","tasks_filtered_by_criteria","Fri Dec 12 13:01:31 UTC 2025","passed","Fri Dec 12 13:01:31 UTC 2025","","test_get_tasks_ids","",""
"Проверяет что запрос выполняется за разумное время","9604","Проверка производительности запроса","tests.test_backend.task_service.get_tasks","Fri Dec 12 13:02:02 UTC 2025","passed","Fri Dec 12 13:02:11 UTC 2025","","test_get_tasks_performance","",""
"","530","Создание Project-документа для роли owner","tests.test_backend.document.access_doc","Fri Dec 12 12:50:12 UTC 2025","passed","Fri Dec 12 12:50:13 UTC 2025","","test_create_doc_access_by_roles","",""
"","227","Валидация поля limit для board group: 0","tests.test_backend.board","Fri Dec 12 12:49:43 UTC 2025","passed","Fri Dec 12 12:49:43 UTC 2025","","board_validation_test","",""
"
    Тест проверяет дублирование документов разными ролями и типами документов. Тест проверяет, что документы могут быть
    созданы одной ролью и продублированы другой в соответствии с ожидаемыми условиями, указанными в параметризации.
    ","679","Дублирование Space-документа: создание manager, дублирование guest","tests.test_backend.document.access_doc","Fri Dec 12 12:50:37 UTC 2025","passed","Fri Dec 12 12:50:38 UTC 2025","","test_duplicate_doc_access_by_roles","",""
"","441","Редактирование борды: изменение имени через /EditBoard","tests.test_backend.board","Fri Dec 12 12:49:48 UTC 2025","passed","Fri Dec 12 12:49:48 UTC 2025","","test_create_board","",""
