"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 14 13:10:50 UTC 2026","Mon Sep 14 13:10:51 UTC 2026","876","Public API","Authorization","Auth Errors","","","[Negative] невалидный токен → 401","
    Проверяем что с некорректным токеном любой эндпоинт публичного API возвращает 401.
    "
"passed","Mon Sep 14 13:10:00 UTC 2026","Mon Sep 14 13:10:00 UTC 2026","185","Public API","History","Date Range","","","[Project] dateRange [2026-08-25, 2026-08-27) — start включительно, end исключительно","dateRange [start, end) для kind=Project — динамические даты из реальных событий."
"passed","Mon Sep 14 13:10:28 UTC 2026","Mon Sep 14 13:10:29 UTC 2026","209","Public API","History","Pagination","","","limit=5 возвращает ровно 5 items и hasMore=true","limit ограничивает количество items в ответе."
"passed","Mon Sep 14 13:10:12 UTC 2026","Mon Sep 14 13:10:12 UTC 2026","188","Public API","History","Invalid Values","","","[Negative] kind='SPACE' → 400 (uppercase_SPACE)","
    kind должен быть одним из допустимых значений enum.
    Любое другое значение возвращает 400.
    "
"skipped","Mon Sep 14 13:09:45 UTC 2026","Mon Sep 14 13:09:45 UTC 2026","279","Public API","History","Date Range","","","[Space][Negative] dateRangeStart > dateRangeEnd → 400","dateRangeStart > dateRangeEnd — дата начала позже даты конца.

    Сейчас сервер возвращает 200 + пустой items, но ожидается 400 —
    клиент явно ошибся, лучше сообщить об этом чем молча вернуть пустоту.
    "
"passed","Mon Sep 14 13:10:34 UTC 2026","Mon Sep 14 13:10:35 UTC 2026","182","Public API","History","Pagination","","","[Negative] limit=0 → 400 (limit must be a positive number)","Невалидный limit (0, отрицательный) возвращает 400."
"passed","Mon Sep 14 13:10:19 UTC 2026","Mon Sep 14 13:10:19 UTC 2026","191","Public API","History","Nonexistent IDs","","","[Negative] несуществующий spaceId → ValidationErrors/IncorrectId","
    Запрос с несуществующим spaceId возвращает 200 + ValidationErrors/IncorrectId.
    TODO: уточнить после фикса — ожидается пустой items или другой код ошибки.
    "
"passed","Mon Sep 14 13:10:44 UTC 2026","Mon Sep 14 13:10:45 UTC 2026","517","Public API","History","Positive","","","Элементы items в ответе содержат обязательные поля","
    Проверяем структуру элементов items в ответе:
    - обязательные поля (_id, key, createdAt, type, data, creatorId) присутствуют в каждом элементе
    - источник: интерфейс IHistory
    "
"passed","Mon Sep 14 13:10:13 UTC 2026","Mon Sep 14 13:10:14 UTC 2026","834","Public API","History","Invalid Values","","","[Negative] kind='123' → 400 (numeric_123)","
    kind должен быть одним из допустимых значений enum.
    Любое другое значение возвращает 400.
    "
"passed","Mon Sep 14 13:10:36 UTC 2026","Mon Sep 14 13:10:36 UTC 2026","182","Public API","History","Pagination","","","[Negative] limit=-1 → 400 (limit must be a positive number)","Невалидный limit (0, отрицательный) возвращает 400."
