"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет форму создания нового типа: инпут, кнопка Add, цвета и иконки.","4584","07. New type: форма создания типа","Frontend","Thu May 28 08:55:11 UTC 2026","passed","Thu May 28 08:55:16 UTC 2026","Type","Tasks","",""
"Проверяет навигацию: выбор спейса, видимость проекта, открытие проекта.","5219","Space and project navigation","Frontend","Thu May 28 08:54:12 UTC 2026","passed","Thu May 28 08:54:17 UTC 2026","","Spaces","",""
"Проверяет что подзадача с вложенной подподзадачей сохранились после конвертации.","3569","05. Subtasks сохранились после конвертации","Frontend","Thu May 28 08:56:29 UTC 2026","passed","Thu May 28 08:56:32 UTC 2026","Convert to Milestone","Tasks","",""
"","13654","Sign in with email","Frontend","Thu May 28 08:52:59 UTC 2026","passed","Thu May 28 08:53:13 UTC 2026","","Auth","",""
"Конвертирует задачу в майлстоун через меню сайдбара.","5818","03. Конвертировать Task в Milestone","Frontend","Thu May 28 08:56:19 UTC 2026","passed","Thu May 28 08:56:24 UTC 2026","Convert to Milestone","Tasks","",""
"Устанавливает дату задачи.","3941","01. Установить Date","Frontend","Thu May 28 08:55:26 UTC 2026","passed","Thu May 28 08:55:30 UTC 2026","Date","Tasks","",""
"Проверяет что задачу можно создать в каждой колонке борда.","5795","01. Создать задачу в каждой колонке борда","Frontend","Thu May 28 08:54:21 UTC 2026","passed","Thu May 28 08:54:27 UTC 2026","Create in Columns","Tasks","",""
"Заполняет все поля задачи перед конвертацией.
    Переносятся: название, описание, дата, подзадача, комментарий.
    Теряются: приоритет, исполнитель, тип, майлстоун.","12429","02. Заполнить все поля Task перед конвертацией","Frontend","Thu May 28 08:56:06 UTC 2026","passed","Thu May 28 08:56:18 UTC 2026","Convert to Milestone","Tasks","",""
"Устанавливает и проверяет даты майлстоуна.","4202","05. Set and verify dates","Frontend","Thu May 28 08:53:28 UTC 2026","passed","Thu May 28 08:53:32 UTC 2026","Fields","Milestones","",""
"Отмечает задачу как выполненную (Complete).","3080","01. Завершить Task","Frontend","Thu May 28 08:56:00 UTC 2026","passed","Thu May 28 08:56:03 UTC 2026","Complete","Tasks","",""
"Заполняет и проверяет короткое описание майлстоуна.","3325","03. Set short description","Frontend","Thu May 28 08:53:20 UTC 2026","passed","Thu May 28 08:53:23 UTC 2026","Fields","Milestones","",""
"Создаёт майлстоуны из dropdown задачи, проверяет мульти-назначение и удаление.","5778","01. Создать, выбрать и удалить Milestones","Frontend","Thu May 28 08:55:20 UTC 2026","passed","Thu May 28 08:55:26 UTC 2026","Milestones","Tasks","",""
"Проверяет что название майлстоуна отображается корректно.","3918","02. Verify milestone name","Frontend","Thu May 28 08:53:16 UTC 2026","passed","Thu May 28 08:53:20 UTC 2026","Fields","Milestones","",""
"Удаляет все карточки с борды и архивирует созданные майлстоуны.","18514","99. Очистка","Frontend","Thu May 28 08:57:04 UTC 2026","passed","Thu May 28 08:57:23 UTC 2026","Lifecycle","Tasks","",""
"
    Smoke-тест: создание Space → wizard (Project + Board) → Task.
    Space удаляется через API в teardown.
    ","0","Create space → project → task","Frontend","Thu May 28 08:54:12 UTC 2026","skipped","Thu May 28 08:54:12 UTC 2026","","Smoke","",""
"Устанавливает Green+Blue, клик по Pink без ⌘ — заменяет все на Pink.","4460","05. Замена Types без ⌘","Frontend","Thu May 28 08:55:03 UTC 2026","passed","Thu May 28 08:55:07 UTC 2026","Type","Tasks","",""
"Удаляет подзадачи из таблицы задачи, проверяет уменьшение счётчика.","5291","03. Удалить Subtask и проверить счётчики","Frontend","Thu May 28 08:55:54 UTC 2026","passed","Thu May 28 08:55:59 UTC 2026","Subtasks","Tasks","",""
"Завершает и снимает завершение подзадач, проверяет счётчики.

    Открывается на полную страницу — подзадачи рендерятся сразу,
    без проблем с загрузкой и скроллом сайдбара.
    ","5151","02. Завершить Subtask и проверить счётчики","Frontend","Thu May 28 08:55:49 UTC 2026","passed","Thu May 28 08:55:54 UTC 2026","Subtasks","Tasks","",""
"","12205","Logout","Frontend","Thu May 28 08:52:47 UTC 2026","failed","Thu May 28 08:52:59 UTC 2026","","Auth","",""
"Создаёт майлстоун через вкладку Milestones на борде.","3253","01. Create milestone on board","Frontend","Thu May 28 08:53:13 UTC 2026","passed","Thu May 28 08:53:16 UTC 2026","Fields","Milestones","",""
"Добавляет блокер и блокинг задачу.","6294","01. Добавить Blocker и Blocking","Frontend","Thu May 28 08:55:30 UTC 2026","passed","Thu May 28 08:55:36 UTC 2026","Blockers","Tasks","",""
"Добавляет две задачи в майлстоун, проверяет счётчик на каждом шаге.

    Обратную связь (МС виден в карточке задачи) проверяет API-тест
    test_tasks_visibility_in_correct_milestones — кросс-навигация на E2E не нужна.
    ","7884","06. Add tasks and verify counters","Frontend","Thu May 28 08:53:32 UTC 2026","passed","Thu May 28 08:53:40 UTC 2026","Fields","Milestones","",""
"Создаёт задачу, которая будет конвертирована в майлстоун.","3113","01. Создать Task для конвертации","Frontend","Thu May 28 08:56:03 UTC 2026","passed","Thu May 28 08:56:06 UTC 2026","Convert to Milestone","Tasks","",""
"Удаляет задачи из таблицы майлстоуна, проверяет уменьшение счётчика.","8876","08. Delete tasks and verify counters","Frontend","Thu May 28 08:53:47 UTC 2026","passed","Thu May 28 08:53:56 UTC 2026","Fields","Milestones","",""
"Устанавливает приоритет задачи Medium.","3260","01. Установить Medium","Frontend","Thu May 28 08:54:32 UTC 2026","passed","Thu May 28 08:54:36 UTC 2026","Priority","Tasks","",""
"Проверяет что вкладка Activities отображается.","3018","10. Verify Activities tab","Frontend","Thu May 28 08:54:01 UTC 2026","passed","Thu May 28 08:54:04 UTC 2026","Fields","Milestones","",""
"Снимает приоритет задачи.","3346","03. Сбросить Priority","Frontend","Thu May 28 08:54:39 UTC 2026","passed","Thu May 28 08:54:42 UTC 2026","Priority","Tasks","",""
"Добавляет комментарий к задаче.","4224","01. Добавить Comment","Frontend","Thu May 28 08:55:40 UTC 2026","passed","Thu May 28 08:55:44 UTC 2026","Comments","Tasks","",""
"Назначает первого пользователя из списка исполнителем.","3432","01. Назначить Assignee","Frontend","Thu May 28 08:54:42 UTC 2026","passed","Thu May 28 08:54:46 UTC 2026","Assignee","Tasks","",""
"Открывает дропдаун, проверяет отображение элементов, выбирает Green.","4220","01. Установить Type Green","Frontend","Thu May 28 08:54:46 UTC 2026","passed","Thu May 28 08:54:50 UTC 2026","Type","Tasks","",""
"Заполняет описание задачи.","3735","01. Заполнить Description","Frontend","Thu May 28 08:55:16 UTC 2026","passed","Thu May 28 08:55:20 UTC 2026","Description","Tasks","",""
"Архивирует тестовый майлстоун и подчищает все остальные кроме 'Test milestone'.","8008","99. Cleanup: archive milestone","Frontend","Thu May 28 08:54:04 UTC 2026","passed","Thu May 28 08:54:12 UTC 2026","Fields","Milestones","",""
"Устанавливает Green+Blue, снимает Green через ⌘+клик, остаётся Blue.","4722","04. Убрать один Type (⌘ + клик)","Frontend","Thu May 28 08:54:58 UTC 2026","passed","Thu May 28 08:55:03 UTC 2026","Type","Tasks","",""
"Завершает и снимает завершение задач, проверяет счётчики.","7493","07. Verify task completion counters","Frontend","Thu May 28 08:53:40 UTC 2026","passed","Thu May 28 08:53:47 UTC 2026","Fields","Milestones","",""
"Добавляет комментарий к майлстоуну и проверяет.","4161","09. Add comment and verify","Frontend","Thu May 28 08:53:56 UTC 2026","passed","Thu May 28 08:54:01 UTC 2026","Fields","Milestones","",""
"Удаляет задачи col_*, созданные тестом создания в колонках.","5471","99. Cleanup: удалить задачи из колонок","Frontend","Thu May 28 08:54:27 UTC 2026","passed","Thu May 28 08:54:32 UTC 2026","Create in Columns","Tasks","",""
"Заполняет и проверяет описание майлстоуна (tiptap-редактор после секции задач).","4016","04. Set and verify description","Frontend","Thu May 28 08:53:23 UTC 2026","passed","Thu May 28 08:53:27 UTC 2026","Fields","Milestones","",""
"Меняет приоритет задачи с Medium на High.","3177","02. Изменить: Medium → High","Frontend","Thu May 28 08:54:36 UTC 2026","passed","Thu May 28 08:54:39 UTC 2026","Priority","Tasks","",""
"Проверяет фильтрацию по поиску в дропдауне Types.","3276","02. Search в дропдауне","Frontend","Thu May 28 08:54:50 UTC 2026","passed","Thu May 28 08:54:54 UTC 2026","Type","Tasks","",""
"Устанавливает тип, сбрасывает через Clear type.","3979","06. Clear type","Frontend","Thu May 28 08:55:07 UTC 2026","passed","Thu May 28 08:55:11 UTC 2026","Type","Tasks","",""
"Добавляет две подзадачи, проверяет счётчик на каждом шаге.","4556","01. Добавить Subtasks и проверить счётчики","Frontend","Thu May 28 08:55:44 UTC 2026","passed","Thu May 28 08:55:49 UTC 2026","Subtasks","Tasks","",""
"Заполняет кастомное текстовое поле задачи.","3412","01. Заполнить Custom Field","Frontend","Thu May 28 08:55:36 UTC 2026","passed","Thu May 28 08:55:40 UTC 2026","Custom Fields","Tasks","",""
"Устанавливает Green, добавляет Blue через ⌘+клик, проверяет что оба видны.","4097","03. Мультиселект Types (⌘ + клик)","Frontend","Thu May 28 08:54:54 UTC 2026","passed","Thu May 28 08:54:58 UTC 2026","Type","Tasks","",""
"Открывает сабтаску на борде, проверяет milestone field,
    переходит на майлстоун по бейджу и проверяет перенос полей.","4297","04. Проверить поля Milestone через Subtask","Frontend","Thu May 28 08:56:24 UTC 2026","passed","Thu May 28 08:56:29 UTC 2026","Convert to Milestone","Tasks","",""
