"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Заполняет и проверяет короткое описание майлстоуна.","5644","03. Set short description","Frontend","Thu May 28 09:46:00 UTC 2026","passed","Thu May 28 09:46:06 UTC 2026","Fields","Milestones","",""
"Конвертирует задачу в майлстоун через меню сайдбара.","6689","03. Конвертировать Task в Milestone","Frontend","Thu May 28 09:49:40 UTC 2026","passed","Thu May 28 09:49:47 UTC 2026","Convert to Milestone","Tasks","",""
"","20137","Sign in with email","Frontend","Thu May 28 09:45:33 UTC 2026","passed","Thu May 28 09:45:53 UTC 2026","","Auth","",""
"Создаёт майлстоуны из dropdown задачи, проверяет мульти-назначение и удаление.","6434","01. Создать, выбрать и удалить Milestones","Frontend","Thu May 28 09:48:34 UTC 2026","passed","Thu May 28 09:48:40 UTC 2026","Milestones","Tasks","",""
"Проверяет что подзадача с вложенной подподзадачей сохранились после конвертации.","4299","05. Subtasks сохранились после конвертации","Frontend","Thu May 28 09:49:52 UTC 2026","passed","Thu May 28 09:49:57 UTC 2026","Convert to Milestone","Tasks","",""
"Устанавливает Green, добавляет Blue через ⌘+клик, проверяет что оба видны.","4715","03. Мультиселект Types (⌘ + клик)","Frontend","Thu May 28 09:48:03 UTC 2026","passed","Thu May 28 09:48:07 UTC 2026","Type","Tasks","",""
"Заполняет кастомное текстовое поле задачи.","4173","01. Заполнить Custom Field","Frontend","Thu May 28 09:48:51 UTC 2026","passed","Thu May 28 09:48:55 UTC 2026","Custom Fields","Tasks","",""
"Удаляет все карточки с борды и архивирует созданные майлстоуны.","20259","99. Очистка","Frontend","Thu May 28 09:50:30 UTC 2026","passed","Thu May 28 09:50:51 UTC 2026","Lifecycle","Tasks","",""
"Архивирует майлстоун и удаляет сабтаску для очистки борды.","4570","99. Очистка: удалить Subtask и архивировать Milestone","Frontend","Thu May 28 09:49:57 UTC 2026","passed","Thu May 28 09:50:01 UTC 2026","Convert to Milestone","Tasks","",""
"Назначает первого пользователя из списка исполнителем.","3933","01. Назначить Assignee","Frontend","Thu May 28 09:47:51 UTC 2026","passed","Thu May 28 09:47:55 UTC 2026","Assignee","Tasks","",""
"Архивирует тестовый майлстоун и подчищает все остальные кроме 'Test milestone'.","8642","99. Cleanup: archive milestone","Frontend","Thu May 28 09:47:07 UTC 2026","passed","Thu May 28 09:47:16 UTC 2026","Fields","Milestones","",""
"Открывает сабтаску на борде, проверяет milestone field,
    переходит на майлстоун по бейджу и проверяет перенос полей.","5281","04. Проверить поля Milestone через Subtask","Frontend","Thu May 28 09:49:47 UTC 2026","passed","Thu May 28 09:49:52 UTC 2026","Convert to Milestone","Tasks","",""
"Добавляет комментарий к майлстоуну и проверяет.","4536","09. Add comment and verify","Frontend","Thu May 28 09:46:59 UTC 2026","passed","Thu May 28 09:47:03 UTC 2026","Fields","Milestones","",""
"Завершает и снимает завершение задач, проверяет счётчики.","17091","07. Verify task completion counters","Frontend","Thu May 28 09:46:24 UTC 2026","passed","Thu May 28 09:46:41 UTC 2026","Fields","Milestones","",""
"Добавляет две подзадачи, проверяет счётчик на каждом шаге.","5809","01. Добавить Subtasks и проверить счётчики","Frontend","Thu May 28 09:49:00 UTC 2026","passed","Thu May 28 09:49:06 UTC 2026","Subtasks","Tasks","",""
"Заполняет описание задачи.","4338","01. Заполнить Description","Frontend","Thu May 28 09:48:29 UTC 2026","passed","Thu May 28 09:48:33 UTC 2026","Description","Tasks","",""
"Добавляет комментарий к задаче.","4466","01. Добавить Comment","Frontend","Thu May 28 09:48:55 UTC 2026","passed","Thu May 28 09:49:00 UTC 2026","Comments","Tasks","",""
"Устанавливает Green+Blue, клик по Pink без ⌘ — заменяет все на Pink.","5174","05. Замена Types без ⌘","Frontend","Thu May 28 09:48:13 UTC 2026","passed","Thu May 28 09:48:18 UTC 2026","Type","Tasks","",""
"Удаляет задачи col_*, созданные тестом создания в колонках.","5886","99. Cleanup: удалить задачи из колонок","Frontend","Thu May 28 09:47:32 UTC 2026","passed","Thu May 28 09:47:38 UTC 2026","Create in Columns","Tasks","",""
"Устанавливает тип, сбрасывает через Clear type.","5265","06. Clear type","Frontend","Thu May 28 09:48:18 UTC 2026","passed","Thu May 28 09:48:24 UTC 2026","Type","Tasks","",""
"Устанавливает дату задачи.","4514","01. Установить Date","Frontend","Thu May 28 09:48:40 UTC 2026","passed","Thu May 28 09:48:45 UTC 2026","Date","Tasks","",""
"Создаёт майлстоун через вкладку Milestones на борде.","3702","01. Create milestone on board","Frontend","Thu May 28 09:45:53 UTC 2026","passed","Thu May 28 09:45:57 UTC 2026","Fields","Milestones","",""
"
    Smoke-тест: создание Space → wizard (Project + Board) → Task.
    Space удаляется через API в teardown.
    ","0","Create space → project → task","Frontend","Thu May 28 09:47:16 UTC 2026","skipped","Thu May 28 09:47:16 UTC 2026","","Smoke","",""
"","18018","Logout","Frontend","Thu May 28 09:45:14 UTC 2026","passed","Thu May 28 09:45:33 UTC 2026","","Auth","",""
