"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Заполняет все поля задачи перед конвертацией в том числе с subtask и sub_subtask.
    Переносятся: название, описание, дата, подзадача (вложенная подзадача), комментарий.
    Теряются: приоритет, исполнитель, тип, майлстоун.","22561","02. Заполнить все поля Task (+subtask и sub_subtask) перед конвертацией","Frontend","Mon Jun 08 12:35:31 UTC 2026","passed","Mon Jun 08 12:35:53 UTC 2026","Convert to Milestone","Tasks","",""
"Конвертирует задачу в майлстоун через меню сайдбара.","6630","03. Конвертировать Task в Milestone","Frontend","Mon Jun 08 12:35:54 UTC 2026","passed","Mon Jun 08 12:36:00 UTC 2026","Convert to Milestone","Tasks","",""
"Завершает и снимает завершение задач, проверяет счётчики.","8311","07. Verify task completion counters","Frontend","Mon Jun 08 12:32:05 UTC 2026","passed","Mon Jun 08 12:32:13 UTC 2026","Fields","Milestones","",""
"Устанавливает тип, сбрасывает через Clear type.","4841","06. Clear type","Frontend","Mon Jun 08 12:34:25 UTC 2026","passed","Mon Jun 08 12:34:30 UTC 2026","Type","Tasks","",""
"Проверяет форму создания нового типа: инпут, кнопка Add, цвета и иконки.","5146","07. New type: форма создания типа","Frontend","Mon Jun 08 12:34:30 UTC 2026","passed","Mon Jun 08 12:34:35 UTC 2026","Type","Tasks","",""
"Открывает дропдаун, проверяет отображение элементов, выбирает Green.","3914","01. Установить Type Green","Frontend","Mon Jun 08 12:34:01 UTC 2026","passed","Mon Jun 08 12:34:05 UTC 2026","Type","Tasks","",""
"Устанавливает приоритет задачи Medium.","3917","01. Установить Medium","Frontend","Mon Jun 08 12:33:22 UTC 2026","passed","Mon Jun 08 12:33:26 UTC 2026","Priority","Tasks","",""
"Заполняет описание задачи.","4320","01. Заполнить Description","Frontend","Mon Jun 08 12:34:35 UTC 2026","passed","Mon Jun 08 12:34:40 UTC 2026","Description","Tasks","",""
"Проверяет что вкладка Activities отображается.","3509","10. Verify Activities tab","Frontend","Mon Jun 08 12:32:36 UTC 2026","passed","Mon Jun 08 12:32:39 UTC 2026","Fields","Milestones","",""
"Снимает FirstMember через ⌘+клик, остаётся SecondMember.","6132","03. Убрать одного (⌘ + клик)","Frontend","Mon Jun 08 12:33:44 UTC 2026","passed","Mon Jun 08 12:33:50 UTC 2026","Assignee","Tasks","",""
"Создаёт майлстоун через вкладку Milestones на борде.","4166","01. Create milestone on board","Frontend","Mon Jun 08 12:31:33 UTC 2026","passed","Mon Jun 08 12:31:37 UTC 2026","Fields","Milestones","",""
"Добавляет SecondMember через ⌘+клик, оба назначены.","5243","02. Мультиселект (⌘ + клик)","Frontend","Mon Jun 08 12:33:39 UTC 2026","passed","Mon Jun 08 12:33:44 UTC 2026","Assignee","Tasks","",""
"Устанавливает дату задачи.","4664","01. Установить Date","Frontend","Mon Jun 08 12:34:46 UTC 2026","passed","Mon Jun 08 12:34:51 UTC 2026","Date","Tasks","",""
"","14754","Sign in with email","Frontend","Mon Jun 08 12:31:18 UTC 2026","passed","Mon Jun 08 12:31:33 UTC 2026","","Auth","",""
"Создаёт майлстоуны из dropdown задачи, проверяет мульти-назначение и удаление.","6578","01. Создать, выбрать и удалить Milestones","Frontend","Mon Jun 08 12:34:40 UTC 2026","passed","Mon Jun 08 12:34:46 UTC 2026","Milestones","Tasks","",""
"Добавляет две подзадачи, проверяет счётчик на каждом шаге.","5034","01. Добавить Subtasks и проверить счётчики","Frontend","Mon Jun 08 12:35:06 UTC 2026","passed","Mon Jun 08 12:35:11 UTC 2026","Subtasks","Tasks","",""
"Архивирует майлстоун и удаляет сабтаску для очистки борды.","8615","99. Очистка: удалить Subtask и архивировать Milestone","Frontend","Mon Jun 08 12:36:11 UTC 2026","passed","Mon Jun 08 12:36:20 UTC 2026","Convert to Milestone","Tasks","",""
"Заполняет кастомное текстовое поле задачи.","4048","01. Заполнить Custom Field","Frontend","Mon Jun 08 12:34:57 UTC 2026","passed","Mon Jun 08 12:35:01 UTC 2026","Custom Fields","Tasks","",""
"Заполняет и проверяет описание майлстоуна (tiptap-редактор после секции задач).","4180","04. Set and verify description","Frontend","Mon Jun 08 12:31:45 UTC 2026","passed","Mon Jun 08 12:31:50 UTC 2026","Fields","Milestones","",""
"Снимает приоритет задачи.","4141","03. Сбросить Priority","Frontend","Mon Jun 08 12:33:30 UTC 2026","passed","Mon Jun 08 12:33:34 UTC 2026","Priority","Tasks","",""
"Клик по FirstMember без ⌘ — заменяет SecondMember на FirstMember.","5133","04. Замена без ⌘","Frontend","Mon Jun 08 12:33:51 UTC 2026","passed","Mon Jun 08 12:33:56 UTC 2026","Assignee","Tasks","",""
"Удаляет задачи из таблицы майлстоуна, проверяет уменьшение счётчика.","17734","08. Delete tasks and verify counters","Frontend","Mon Jun 08 12:32:13 UTC 2026","passed","Mon Jun 08 12:32:31 UTC 2026","Fields","Milestones","",""
"Создаёт задачу, которая будет конвертирована в майлстоун.","3593","01. Создать Task для конвертации","Frontend","Mon Jun 08 12:35:27 UTC 2026","passed","Mon Jun 08 12:35:31 UTC 2026","Convert to Milestone","Tasks","",""
"Проверяет фильтрацию по поиску в дропдауне Types.","4122","02. Search в дропдауне","Frontend","Mon Jun 08 12:34:05 UTC 2026","passed","Mon Jun 08 12:34:09 UTC 2026","Type","Tasks","",""
"Добавляет комментарий к майлстоуну и проверяет.","4567","09. Add comment and verify","Frontend","Mon Jun 08 12:32:31 UTC 2026","passed","Mon Jun 08 12:32:36 UTC 2026","Fields","Milestones","",""
