"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","459","Редактирование кастомного поля типа: TaskRelations","tests.test_backend.board","Thu Nov 13 13:58:12 UTC 2025","passed","Thu Nov 13 13:58:13 UTC 2025","","test_create_board","",""
"
        Проверка обработки некорректных значений slug при получении задачи.
        Ожидаем корректные коды ошибок для разных невалидных входных данных.
        ","234","Негативные сценарии: Get task с invalid slug | slug='1 OR 1=1' -> 400","tests.test_backend.task_service.get_task","Thu Nov 13 14:09:44 UTC 2025","passed","Thu Nov 13 14:09:45 UTC 2025","","test_get_task_wrong_slug","",""
"","228","Создание документа — кейс: [title > MAX length (2049)] (ожидается 400)","tests.test_backend.document","Thu Nov 13 14:02:36 UTC 2025","passed","Thu Nov 13 14:02:36 UTC 2025","","test_create_document","",""
"
    Проверяет запрет доступа к документам для стороннего пользователя при попытке
    получить документы, связанные с определенным типом сущности (например, 'Project',
    'Space' или 'Member'). Тест проверяет, что сторонний клиент получает статус 403
    и код ошибки 'AccessDenied' в ответе.
    ","183","Отказ в доступе к Space документам другим пользователем","tests.test_backend.document.access_doc","Thu Nov 13 13:58:35 UTC 2025","passed","Thu Nov 13 13:58:36 UTC 2025","","test_doc_access_for_foreign","",""
"","771","Дублирование Personal-документа: создание manager, дублирование member","tests.test_backend.document.access_doc","Thu Nov 13 13:59:10 UTC 2025","passed","Thu Nov 13 13:59:11 UTC 2025","","test_duplicate_doc_access_by_roles","",""
"
        Проверка обработки некорректных значений slug при получении задачи.
        Ожидаем корректные коды ошибок для разных невалидных входных данных.
        ","249","Негативные сценарии: Get task с invalid slug | slug='AAAAAAAAA' -> 400","tests.test_backend.task_service.get_task","Thu Nov 13 14:09:45 UTC 2025","passed","Thu Nov 13 14:09:45 UTC 2025","","test_get_task_wrong_slug","",""
"
    Тест проверки создания задачи с минимальным набором полей в системе управления проектами под разными ролями.

    Цель теста — убедиться, что можно успешно создать задачу, указав только минимально необходимые данные, и что поведение API зависит от прав пользователя (типа клиента).
    В процессе теста дополнительно валидируются структура созданной задачи, значения по умолчанию, связи (creator, board и пр.), а также удаление задачи после проверки.
    assert_task_keys обеспечивает падение теста при добавлении/удалении ключей с понятным сообщением.

    Ход теста:
        1. Получение клиента согласно переданной роли через фикстуру.
        2. Получение id пользователя, с помощью которого осуществляется создание задачи.
        3. Формирование минимального payload и попытка создать задачу через API.
        4. Проверка статус-кода ответа.
        5. Если задача успешно создана (ответ 200):
            - Проверка наполнения и структуры ответа
    ","737","Create task with minimal payload: клиент=guest_client, ожидаемый статус=403","access_task","Thu Nov 13 14:05:19 UTC 2025","passed","Thu Nov 13 14:05:20 UTC 2025","","test_create_task","",""
"
    Данный тест проверяет возможность создания задачи с заранее определённым набором данных (payload) через API
     управления задачами для различных ролей пользователей, а также корректность и полноту возвращаемого ответа.
     Тест эмулирует действия разных типов клиентов (владелец, менеджер, участник, гость) и сравнивает фактический результат с ожидаемым HTTP-статусом.
    ","1631","Проверка создания задачи с конкретным payload и структурой ответа : клиент=guest_client, ожидаемый статус=403","access_task","Thu Nov 13 14:05:27 UTC 2025","passed","Thu Nov 13 14:05:28 UTC 2025","","test_create_task","",""
"
    Проверяет доступ к siblings персональных (Member) документов при разных комбинациях:
    - Создателя документа
    - Просматривающего пользователя

    Проверки:
        1. Создание трёх последовательных документов указанной ролью
        2. Запрос siblings для среднего документа другой ролью
        3. Проверка статуса ответа и корректности данных siblings

    Особенность: к персональным документам имеет доступ только их владелец
    ","2166","Проверка доступа к siblings персонального документа: создатель - manager, просматривающий - owner","tests.test_backend.document.access_doc","Thu Nov 13 14:02:00 UTC 2025","passed","Thu Nov 13 14:02:02 UTC 2025","","test_get_siblings_doc_access","",""
"","213","Тест: Проверка списка проектов","tests.test_backend.project","Thu Nov 13 14:04:57 UTC 2025","passed","Thu Nov 13 14:04:58 UTC 2025","","test_project","",""
"","218","Тест: Проверка архивации проекта","tests.test_backend.project","Thu Nov 13 14:04:58 UTC 2025","passed","Thu Nov 13 14:04:58 UTC 2025","","test_project","",""
"","212","Создание документа — кейс: [list as title] (ожидается 400)","tests.test_backend.document","Thu Nov 13 14:02:37 UTC 2025","passed","Thu Nov 13 14:02:37 UTC 2025","","test_create_document","",""
"","605","Тест создания доски: клиент=member_client, ожидаемый статус=403","tests.test_backend.board.access_board","Thu Nov 13 13:57:52 UTC 2025","passed","Thu Nov 13 13:57:53 UTC 2025","","test_create_board","",""
"","590","Негативный сценарий: гостевой пользователь не может получить siblings (kind=Space)","tests.test_backend.document","Thu Nov 13 14:04:48 UTC 2025","passed","Thu Nov 13 14:04:48 UTC 2025","","test_get_siblings","",""
"","249","GetTasks ids: дубликаты во входных ids","tests.test_backend.task_service.get_tasks","Thu Nov 13 14:10:24 UTC 2025","passed","Thu Nov 13 14:10:24 UTC 2025","","test_get_tasks_ids","",""
"","2864","Два последовательных запроса на редактирование одного документа- проверяем что последнее изменение сохранилось.Space","tests.test_backend.document","Thu Nov 13 14:03:00 UTC 2025","passed","Thu Nov 13 14:03:02 UTC 2025","","test_edit_document","",""
"","576","Редактирование кастомного поля типа: Date","tests.test_backend.board","Thu Nov 13 13:58:11 UTC 2025","passed","Thu Nov 13 13:58:12 UTC 2025","","test_create_board","",""
"","224","Тест: Проверка редактирования имени проекта","tests.test_backend.project","Thu Nov 13 14:04:58 UTC 2025","passed","Thu Nov 13 14:04:58 UTC 2025","","test_project","",""
"","187","Авторизован, но не участник пространства — дублирование запрещено Project","tests.test_backend.document","Thu Nov 13 14:02:51 UTC 2025","passed","Thu Nov 13 14:02:52 UTC 2025","","test_duplicate_document","",""
"
    Тест проверяет дублирование документов разными ролями и типами документов. Тест проверяет, что документы могут быть
    созданы одной ролью и продублированы другой в соответствии с ожидаемыми условиями, указанными в параметризации.
    ","1001","Дублирование Project-документа: создание owner, дублирование owner","tests.test_backend.document.access_doc","Thu Nov 13 13:58:38 UTC 2025","passed","Thu Nov 13 13:58:39 UTC 2025","","test_duplicate_doc_access_by_roles","",""
"
    Test to verify negative access scenarios for a board.

    ","633","Негативный тест на доступ к борде: клиент=client_with_access_only_in_project, ожидаемый статус=403","tests.test_backend.board.access_board","Thu Nov 13 13:57:56 UTC 2025","passed","Thu Nov 13 13:57:56 UTC 2025","","test_matrix_access_board","",""
"
    Проверяет доступ к siblings персональных (Member) документов при разных комбинациях:
    - Создателя документа
    - Просматривающего пользователя

    Проверки:
        1. Создание трёх последовательных документов указанной ролью
        2. Запрос siblings для среднего документа другой ролью
        3. Проверка статуса ответа и корректности данных siblings

    Особенность: к персональным документам имеет доступ только их владелец
    ","1727","Проверка доступа к siblings персонального документа: создатель - member, просматривающий - owner","tests.test_backend.document.access_doc","Thu Nov 13 14:02:08 UTC 2025","passed","Thu Nov 13 14:02:10 UTC 2025","","test_get_siblings_doc_access","",""
"
    Проверяем доступ к списку недавних документов для ролей owner, manager, member, guest.
    Создаются тестовые документы, проверяется их доступность
    и корректный порядок отображения после повторной маркировки.
    ","0","test_get_recent_documents_access_by_roles[project_docs-owner]","tests.test_backend.document.access_doc","Thu Nov 13 14:01:03 UTC 2025","skipped","Thu Nov 13 14:01:03 UTC 2025","","test_get_recent_documents_access_by_roles","",""
"","944","Проверка граничной валидации длины title: LENGTH = 2048 for Member","tests.test_backend.document","Thu Nov 13 14:03:09 UTC 2025","passed","Thu Nov 13 14:03:10 UTC 2025","","test_edit_document","",""
"
    Тест проверяет дублирование документов разными ролями и типами документов. Тест проверяет, что документы могут быть
    созданы одной ролью и продублированы другой в соответствии с ожидаемыми условиями, указанными в параметризации.
    ","1038","Дублирование Space-документа: создание manager, дублирование member","tests.test_backend.document.access_doc","Thu Nov 13 13:58:58 UTC 2025","passed","Thu Nov 13 13:58:59 UTC 2025","","test_duplicate_doc_access_by_roles","",""
"","449","Успешное получение документа по documentId (kind=Member)","tests.test_backend.document","Thu Nov 13 14:03:18 UTC 2025","passed","Thu Nov 13 14:03:18 UTC 2025","","test_get_document","",""
"
    Негативный тест: создание задачи с отрицательным индексом должно возвращать ошибку по полю index.
    ","308","Негативный тест: создание задачи с отрицательным индексом (index=-10) Ожидался статус 400","create_task","Thu Nov 13 14:09:29 UTC 2025","failed","Thu Nov 13 14:09:29 UTC 2025","","test_task_indexing_in_group","",""
"
    Проверяет функциональность архивации Space-документа с разными ролями и уровнями доступа.

    Тест создает Space-документ, используя случайного клиента с повышенными правами (владелец, менеджер или участник),
    и оценивает возможность архивации документа на основе предоставленной роли client_fixture.
    Проверяется, что возвращаются корректные коды состояния в зависимости от прав пользователя.
    Дополнительно, в случаях, когда доступ запрещен и ожидаемый статус 403, документ архивируется после теста
    с использованием случайного клиента с повышенными правами.
    ","730","Архивирование Space-документа для роли member","tests.test_backend.document.access_doc","Thu Nov 13 13:58:19 UTC 2025","passed","Thu Nov 13 13:58:20 UTC 2025","","test_archive_doc","",""
"","715","Архивирование Personal-документа для роли member, документ создан в роли Member","tests.test_backend.document.access_doc","Thu Nov 13 13:58:26 UTC 2025","passed","Thu Nov 13 13:58:27 UTC 2025","","test_archive_doc","",""
"
    Проверяем доступ к списку недавних документов для ролей owner, manager, member, guest.
    Создаются тестовые документы, проверяется их доступность
    и корректный порядок отображения после повторной маркировки.
    ","0","test_get_recent_documents_access_by_roles[space_docs-guest]","tests.test_backend.document.access_doc","Thu Nov 13 14:01:03 UTC 2025","skipped","Thu Nov 13 14:01:03 UTC 2025","","test_get_recent_documents_access_by_roles","",""
"","455","Редактирование кастомного поля типа: Text","tests.test_backend.board","Thu Nov 13 13:58:10 UTC 2025","passed","Thu Nov 13 13:58:10 UTC 2025","","test_create_board","",""
"
    Единственный ребёнок: нет prevSibling/nextSibling, parents содержит родителя.
    ","912","Проверяем siblins для единственного SoloChild (kind=Space)","tests.test_backend.document","Thu Nov 13 14:04:25 UTC 2025","passed","Thu Nov 13 14:04:26 UTC 2025","","test_get_siblings","",""
"
    Проверяет доступ к siblings документов при разных комбинациях:
    - Создателя документа
    - Просматривающего пользователя
    - Типа документа (Space/Project)

    Проверки:
        1. Создание трёх последовательных документов указанной ролью
        2. Запрос siblings для среднего документа другой ролью
        3. Проверка статуса ответа и корректности данных siblings
    ","1896","Проверка доступа к siblings Project-документа: создатель - owner, просматривающий - guest","tests.test_backend.document.access_doc","Thu Nov 13 14:01:33 UTC 2025","passed","Thu Nov 13 14:01:35 UTC 2025","","test_get_siblings_doc_access","",""
"","206","Негативные сценарии: некорректный documentId. id=None","tests.test_backend.document","Thu Nov 13 14:02:56 UTC 2025","passed","Thu Nov 13 14:02:56 UTC 2025","","test_edit_document","",""
"","208","Тест: Проверка предельной длины описания проекта","tests.test_backend.project","Thu Nov 13 14:04:57 UTC 2025","passed","Thu Nov 13 14:04:57 UTC 2025","","test_project","",""
"
    Проверяет доступ к siblings персональных (Member) документов при разных комбинациях:
    - Создателя документа
    - Просматривающего пользователя

    Проверки:
        1. Создание трёх последовательных документов указанной ролью
        2. Запрос siblings для среднего документа другой ролью
        3. Проверка статуса ответа и корректности данных siblings

    Особенность: к персональным документам имеет доступ только их владелец
    ","1798","Проверка доступа к siblings персонального документа: создатель - guest, просматривающий - owner","tests.test_backend.document.access_doc","Thu Nov 13 14:02:15 UTC 2025","passed","Thu Nov 13 14:02:17 UTC 2025","","test_get_siblings_doc_access","",""
"
    Проверяет доступ к siblings документов при разных комбинациях:
    - Создателя документа
    - Просматривающего пользователя
    - Типа документа (Space/Project)

    Проверки:
        1. Создание трёх последовательных документов указанной ролью
        2. Запрос siblings для среднего документа другой ролью
        3. Проверка статуса ответа и корректности данных siblings
    ","1956","Проверка доступа к siblings Space-документа: создатель - manager, просматривающий - member","tests.test_backend.document.access_doc","Thu Nov 13 14:01:16 UTC 2025","passed","Thu Nov 13 14:01:18 UTC 2025","","test_get_siblings_doc_access","",""
"","546","Негативный сценарий: дублирование с некорректным documentId, invalid id=000000000000000000000000","tests.test_backend.document","Thu Nov 13 14:02:45 UTC 2025","passed","Thu Nov 13 14:02:46 UTC 2025","","test_duplicate_document","",""
"Тест проверки siblins и родителей для родительского документа","3000","Проверка отсутствия siblins и родителей для одного корневого документа (kind=Project)","tests.test_backend.document","Thu Nov 13 14:03:54 UTC 2025","passed","Thu Nov 13 14:03:57 UTC 2025","","test_get_siblings","",""
"","480","Редактирование поля Select: добавление новых опций с валидным _id","tests.test_backend.board","Thu Nov 13 13:58:13 UTC 2025","passed","Thu Nov 13 13:58:13 UTC 2025","","test_create_board","",""
"
    Проверяем доступ к списку недавних документов для ролей owner, manager, member, guest.
    Создаются тестовые документы, проверяется их доступность
    и корректный порядок отображения после повторной маркировки.
    ","0","test_get_recent_documents_access_by_roles[project_docs-member]","tests.test_backend.document.access_doc","Thu Nov 13 14:01:03 UTC 2025","skipped","Thu Nov 13 14:01:03 UTC 2025","","test_get_recent_documents_access_by_roles","",""
"","230","Валидация имени борды: empty string → ожидали 400","tests.test_backend.board","Thu Nov 13 13:57:58 UTC 2025","passed","Thu Nov 13 13:57:58 UTC 2025","","board_validation_test","",""
"","447","Редактирование борды: изменение имени через /EditBoard","tests.test_backend.board","Thu Nov 13 13:58:06 UTC 2025","passed","Thu Nov 13 13:58:07 UTC 2025","","test_create_board","",""
"","597","Тест создания доски: клиент=owner_client, ожидаемый статус=200","tests.test_backend.board.access_board","Thu Nov 13 13:57:47 UTC 2025","passed","Thu Nov 13 13:57:47 UTC 2025","","test_create_board","",""
"","532","Создание документа с дублирующимся title","tests.test_backend.document","Thu Nov 13 14:02:40 UTC 2025","passed","Thu Nov 13 14:02:41 UTC 2025","","test_create_document","",""
"","204","Ошибка при попытке получить борду по несуществующему boardId","tests.test_backend.board","Thu Nov 13 13:58:14 UTC 2025","passed","Thu Nov 13 13:58:14 UTC 2025","","test_get_board","",""
"
    Проверяет доступ к siblings документов при разных комбинациях:
    - Создателя документа
    - Просматривающего пользователя
    - Типа документа (Space/Project)

    Проверки:
        1. Создание трёх последовательных документов указанной ролью
        2. Запрос siblings для среднего документа другой ролью
        3. Проверка статуса ответа и корректности данных siblings
    ","1902","Проверка доступа к siblings Project-документа: создатель - member, просматривающий - owner","tests.test_backend.document.access_doc","Thu Nov 13 14:01:43 UTC 2025","passed","Thu Nov 13 14:01:45 UTC 2025","","test_get_siblings_doc_access","",""
"
    Тестирование получения задач(get_tasks) под разными ролями с валидацией набора полей и типов.

    Проверяет:
    1. HTTP статус код ответа
    2. Структуру payload ответа
    3. Валидацию полей и типов данных для выборки задач
    4. Принадлежность задач правильной доске
    ","6608","Тестирование получения задач под ролью Guest (HTTP 200)","tests.test_backend.task_service.get_tasks.access_get_tasks","Thu Nov 13 14:10:06 UTC 2025","passed","Thu Nov 13 14:10:13 UTC 2025","","test_get_tasks_access_by_role","",""
"
    Проверяет доступ к siblings персональных (Member) документов при разных комбинациях:
    - Создателя документа
    - Просматривающего пользователя

    Проверки:
        1. Создание трёх последовательных документов указанной ролью
        2. Запрос siblings для среднего документа другой ролью
        3. Проверка статуса ответа и корректности данных siblings

    Особенность: к персональным документам имеет доступ только их владелец
    ","1815","Проверка доступа к siblings персонального документа: создатель - guest, просматривающий - member","tests.test_backend.document.access_doc","Thu Nov 13 14:02:19 UTC 2025","passed","Thu Nov 13 14:02:21 UTC 2025","","test_get_siblings_doc_access","",""
"","0","Создание документа без авторизации","tests.test_backend.document","Thu Nov 13 14:02:41 UTC 2025","skipped","Thu Nov 13 14:02:41 UTC 2025","","test_create_document","",""
"
    Проверяет доступ к siblings документов при разных комбинациях:
    - Создателя документа
    - Просматривающего пользователя
    - Типа документа (Space/Project)

    Проверки:
        1. Создание трёх последовательных документов указанной ролью
        2. Запрос siblings для среднего документа другой ролью
        3. Проверка статуса ответа и корректности данных siblings
    ","1890","Проверка доступа к siblings Project-документа: создатель - member, просматривающий - manager","tests.test_backend.document.access_doc","Thu Nov 13 14:01:45 UTC 2025","passed","Thu Nov 13 14:01:47 UTC 2025","","test_get_siblings_doc_access","",""
"
    Негативный сценарий: разные некорректные document_id.
    ","200","Негативный экспорт Y-Doc для document_id=None","tests.test_backend.document","Thu Nov 13 14:04:53 UTC 2025","passed","Thu Nov 13 14:04:53 UTC 2025","","test_get_y_document","",""
"","231","Создание проекта с пустым названием","tests.test_backend.project","Thu Nov 13 14:04:56 UTC 2025","passed","Thu Nov 13 14:04:57 UTC 2025","","test_project","",""
"","1211","Редактирование Personal-документа: создание manager, редактирование member","tests.test_backend.document.access_doc","Thu Nov 13 14:00:01 UTC 2025","passed","Thu Nov 13 14:00:02 UTC 2025","","test_edit_doc_access_by_roles","",""
"
    Проверяем доступ к списку недавних документов для ролей owner, manager, member, guest.
    Создаются тестовые документы, проверяется их доступность
    и корректный порядок отображения после повторной маркировки.
    ","0","test_get_recent_documents_access_by_roles[space_docs-owner]","tests.test_backend.document.access_doc","Thu Nov 13 14:01:03 UTC 2025","skipped","Thu Nov 13 14:01:03 UTC 2025","","test_get_recent_documents_access_by_roles","",""
"","243","Создание документа в роли owner - с передачей kind=Project и kindId (ожидается 200)","tests.test_backend.document","Thu Nov 13 14:02:39 UTC 2025","passed","Thu Nov 13 14:02:39 UTC 2025","","test_create_document","",""
"","328","Test create space visible in list","tests.test_backend.space","Thu Nov 13 14:04:59 UTC 2025","passed","Thu Nov 13 14:04:59 UTC 2025","","test_space","",""
"
    Тест проверяет корректность позиционирования задач при создании новой задачи в группе на доске (board).
    ","3063","Проверка index -> ожидаемая позиция задачи в колонке| Пустая группа, индекс=0 ","create_task","Thu Nov 13 14:07:18 UTC 2025","passed","Thu Nov 13 14:07:21 UTC 2025","","test_task_indexing_in_group","",""
"","308","Несоответствие kind и kindId — kind=Project с kindId от Member","tests.test_backend.document","Thu Nov 13 14:03:39 UTC 2025","passed","Thu Nov 13 14:03:39 UTC 2025","","test_get_documents","",""
"
    Тест проверяет дублирование документов разными ролями и типами документов. Тест проверяет, что документы могут быть
    созданы одной ролью и продублированы другой в соответствии с ожидаемыми условиями, указанными в параметризации.
    ","1076","Дублирование Space-документа: создание member, дублирование member","tests.test_backend.document.access_doc","Thu Nov 13 13:59:03 UTC 2025","passed","Thu Nov 13 13:59:04 UTC 2025","","test_duplicate_doc_access_by_roles","",""
"","910","Редактирование Personal-документа: создание member, редактирование guest","tests.test_backend.document.access_doc","Thu Nov 13 14:00:07 UTC 2025","passed","Thu Nov 13 14:00:08 UTC 2025","","test_edit_doc_access_by_roles","",""
"
    Проверка универсальна для всех эндпоинтов. Выполнена на GetSpaces.
    ","452","Авторизация: отсутствие токена (в Authorization и Cookie,) приводит к Unauthorized 401)","tests.test_backend.authServis","Thu Nov 13 13:57:43 UTC 2025","passed","Thu Nov 13 13:57:44 UTC 2025","","test_token","",""
"
    Негативный сценарий: разные некорректные document_id.
    ","211","Негативный экспорт Y-Doc для document_id=bad_format","tests.test_backend.document","Thu Nov 13 14:04:53 UTC 2025","passed","Thu Nov 13 14:04:53 UTC 2025","","test_get_y_document","",""
"","703","Архивирование Project-документа для роли member","tests.test_backend.document.access_doc","Thu Nov 13 13:58:23 UTC 2025","passed","Thu Nov 13 13:58:23 UTC 2025","","test_archive_doc","",""
"
    Проверяем что разные роли могут получить списки документов из пространства и проекта.
    Тест параметризован для проверки разных типов клиентов и контейнеров документов.

    Проверяется получение и наличие в ответе всех созданных документов с учетом
    ожидаемого статуса запроса для каждой роли.
    ","1763","Проверка доступа к списку документов в Space для роли owner","tests.test_backend.document.access_doc","Thu Nov 13 14:00:42 UTC 2025","passed","Thu Nov 13 14:00:44 UTC 2025","","test_get_docs_list_access_by_roles","",""
"
    Проверяет доступ к siblings персональных (Member) документов при разных комбинациях:
    - Создателя документа
    - Просматривающего пользователя

    Проверки:
        1. Создание трёх последовательных документов указанной ролью
        2. Запрос siblings для среднего документа другой ролью
        3. Проверка статуса ответа и корректности данных siblings

    Особенность: к персональным документам имеет доступ только их владелец
    ","1868","Проверка доступа к siblings персонального документа: создатель - manager, просматривающий - guest","tests.test_backend.document.access_doc","Thu Nov 13 14:02:06 UTC 2025","passed","Thu Nov 13 14:02:08 UTC 2025","","test_get_siblings_doc_access","",""
